1924 FE1E 2871 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
1926 FE1E 2874 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
1928 FE1E 2877 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
1930 F355 2880 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
1932 7E01 2884 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
1934 3E80 2884 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]
1936 1774 2884 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]
1908 A919 2884 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]
1910 FE1E 2329 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]
1912 FE1E 2333 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]
1914 FE1E 2337 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]
1916 FE1E 2341 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]
1918 F365 2345 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]
1920 AB34 2349 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [12, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]
1922 FE1E 2868 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [12, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]
1924 FE1E 2872 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [12, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]
